Species,SRR,Tissue,Project
Anolis_carolinensis,SRR5412168,Ovary,GSE97367
Anolis_carolinensis,SRR5412169,Ovary,GSE97367
Anolis_carolinensis,SRR5412170,Ovary,GSE97367
Mus_musculus,SRR5412201,Ovary,GSE97367
Mus_musculus,SRR5412202,Ovary,GSE97367
Monodelphis_domestica,SRR5412219,Ovary,GSE97367
Ornithorhynchus_anatinus,SRR5412238,Ovary,GSE97367
Ornithorhynchus_anatinus,SRR5412239,Ovary,GSE97367
Gallus_gallus,SRR5412257,Ovary,GSE97367
Gallus_gallus,SRR5412258,Ovary,GSE97367
Xenopus_tropicalis,SRR5412277,Ovary,GSE97367
Xenopus_tropicalis,SRR5412278,Ovary,GSE97367
Anolis_carolinensis,SRR5412171,Testis,GSE97367
Anolis_carolinensis,SRR5412172,Testis,GSE97367
Anolis_carolinensis,SRR5412173,Testis,GSE97367
Mus_musculus,SRR5412203,Testis,GSE97367
Mus_musculus,SRR5412204,Testis,GSE97367
Monodelphis_domestica,SRR5412220,Testis,GSE97367
Monodelphis_domestica,SRR5412221,Testis,GSE97367
Ornithorhynchus_anatinus,SRR5412240,Testis,GSE97367
Ornithorhynchus_anatinus,SRR5412241,Testis,GSE97367
Gallus_gallus,SRR5412259,Testis,GSE97367
Gallus_gallus,SRR5412260,Testis,GSE97367
Xenopus_tropicalis,SRR5412279,Testis,GSE97367
Xenopus_tropicalis,SRR5412280,Testis,GSE97367
Anolis_carolinensis,SRR5412162,Liver,GSE97367
Anolis_carolinensis,SRR5412163,Liver,GSE97367
Anolis_carolinensis,SRR5412164,Liver,GSE97367
Anolis_carolinensis,SRR5412165,Liver,GSE97367
Anolis_carolinensis,SRR5412166,Liver,GSE97367
Anolis_carolinensis,SRR5412167,Liver,GSE97367
Mus_musculus,SRR5412197,Liver,GSE97367
Mus_musculus,SRR5412198,Liver,GSE97367
Mus_musculus,SRR5412199,Liver,GSE97367
Monodelphis_domestica,SRR5412215,Liver,GSE97367
Monodelphis_domestica,SRR5412216,Liver,GSE97367
Monodelphis_domestica,SRR5412217,Liver,GSE97367
Monodelphis_domestica,SRR5412218,Liver,GSE97367
Ornithorhynchus_anatinus,SRR5412234,Liver,GSE97367
Ornithorhynchus_anatinus,SRR5412235,Liver,GSE97367
Ornithorhynchus_anatinus,SRR5412236,Liver,GSE97367
Ornithorhynchus_anatinus,SRR5412237,Liver,GSE97367
Gallus_gallus,SRR5412253,Liver,GSE97367
Gallus_gallus,SRR5412254,Liver,GSE97367
Gallus_gallus,SRR5412255,Liver,GSE97367
Gallus_gallus,SRR5412256,Liver,GSE97367
Xenopus_tropicalis,SRR5412273,Liver,GSE97367
Xenopus_tropicalis,SRR5412274,Liver,GSE97367
Xenopus_tropicalis,SRR5412275,Liver,GSE97367
Xenopus_tropicalis,SRR5412276,Liver,GSE97367
Mus_musculus,SRR5412200,Liver,GSE97367
Anolis_carolinensis,SRR6337920,Liver,GSE97367
Anolis_carolinensis,SRR6337921,Liver,GSE97367
Anolis_carolinensis,SRR6337922,Liver,GSE97367
Anolis_carolinensis,SRR6261413,Liver,GSE97367
Anolis_carolinensis,SRR6261436,Liver,GSE97367
Anolis_carolinensis,SRR6261441,Liver,GSE97367
Anolis_carolinensis,SRR6261446,Liver,GSE97367

#awk -F',' 'NR==1{print "Species,SRR,Tissue,Project";next}{gsub(/ /,"_",$28);print $24","$1","$33",GSE97367"}' SraRunTable.csv > GSE97367.csv